TEAM;TOTAL;AVG;MEDIAN;STD;YEAR;ID
Memphis Grizzlies;$ 66,460,021;$ 4,430,668;$ 3,093,333;$ 4,553,626;2008;MEM
Memphis Grizzlies;$ 54,472,106;$ 3,890,864;$ 2,894,160;$ 3,836,453;2007;MEM
Memphis Grizzlies;$ 47,055,458;$ 3,137,030;$ 1,886,113;$ 3,383,112;2006;MEM
Memphis Grizzlies;$ 129,239,540;$ 4,307,984;$ 3,380,000;$ 4,116,280;2005;MEM
Memphis Grizzlies;$ 59,075,657;$ 3,938,377;$ 4,318,481;$ 2,576,634;2004;MEM
Memphis Grizzlies;$ 59,075,657;$ 3,938,377;$ 4,318,481;$ 2,576,634;2003;MEM
Memphis Grizzlies;$ 45,746,014;$ 3,049,734;$ 2,668,080;$ 2,283,203;2002;MEM
Memphis Grizzlies;$ 50,289,143;$ 3,592,081;$ 2,762,456;$ 2,892,718;2001;MEM
Miami Heat;$ 65,043,643;$ 4,336,242;$ 1,352,181;$ 5,311,488;2010;MIA
Miami Heat;$ 77,135,159;$ 4,059,745;$ 1,187,686;$ 6,045,704;2009;MIA
Miami Heat;$ 54,346,083;$ 3,019,226;$ 1,207,519;$ 3,691,791;2008;MIA
Miami Heat;$ 74,736,115;$ 4,671,007;$ 2,068,343;$ 5,578,535;2007;MIA
Miami Heat;$ 78,203,790;$ 5,213,586;$ 2,880,000;$ 5,751,019;2006;MIA
Miami Heat;$ 119,302,936;$ 3,976,764;$ 1,670,000;$ 4,945,024;2005;MIA
Miami Heat;$ 57,876,947;$ 3,858,463;$ 1,127,280;$ 7,337,246;2004;MIA
Miami Heat;$ 57,876,947;$ 3,858,463;$ 1,127,280;$ 7,337,246;2003;MIA
Miami Heat;$ 57,640,868;$ 3,842,724;$ 1,350,000;$ 5,873,389;2002;MIA
Miami Heat;$ 52,916,216;$ 3,527,747;$ 590,850;$ 5,325,291;2001;MIA
Milwaukee Bucks;$ 70,070,508;$ 4,671,367;$ 2,320,500;$ 5,085,115;2010;MIL
Milwaukee Bucks;$ 76,227,006;$ 3,811,350;$ 2,134,260;$ 4,236,766;2009;MIL
Milwaukee Bucks;$ 70,220,238;$ 4,681,349;$ 3,354,480;$ 4,477,347;2008;MIL
Milwaukee Bucks;$ 62,317,859;$ 4,154,523;$ 3,000,000;$ 3,939,470;2007;MIL
Milwaukee Bucks;$ 54,633,510;$ 3,642,234;$ 2,537,880;$ 3,751,554;2006;MIL
Milwaukee Bucks;$ 112,980,494;$ 3,766,016;$ 2,177,114;$ 3,402,878;2005;MIL
Milwaukee Bucks;$ 34,557,522;$ 2,658,270;$ 1,650,000;$ 2,112,864;2004;MIL
Milwaukee Bucks;$ 34,557,522;$ 2,658,270;$ 1,650,000;$ 2,112,864;2003;MIL
Milwaukee Bucks;$ 59,979,330;$ 4,613,794;$ 3,998,679;$ 4,041,896;2002;MIL
